College,College Initials,Program,Credential_level,Measure,Totals,Blank,Not Available
Harford Community College,HarfordCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Harford Community College,HarfordCC,Non-CPAM Degree (Degree) [No Data],Degree,retentionRate,0.05,Blank,
Harford Community College,HarfordCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Harford Community College,HarfordCC,Not Specified [No Data],Not Specified,retentionRate,0.05,Blank,
Howard Community College,HowardCC,CPAM Certificate <1y (Not Specified),Not Specified,retentionRate,0.33,Not Blank,
Howard Community College,HowardCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),retentionRate,1.00,Not Blank,
Howard Community College,HowardCC,CPAM Certificate >1y (Not Specified),Not Specified,retentionRate,0.50,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Certificate >1y),Certificate (more than one year),retentionRate,1.00,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Degree),Degree,retentionRate,0.18,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Not Specified),Not Specified,retentionRate,0.47,Not Blank,
Howard Community College,HowardCC,CPAM Degree AAS (Degree) [No Data],Degree,retentionRate,0.05,Blank,
Howard Community College,HowardCC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Howard Community College,HowardCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Howard Community College,HowardCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Howard Community College,HowardCC,Non-CPAM Degree (Degree),Degree,retentionRate,0.60,Not Blank,
Howard Community College,HowardCC,Non-CPAM Degree (Not Specified),Not Specified,retentionRate,0.31,Not Blank,
Howard Community College,HowardCC,Not Specified,Not Specified,retentionRate,0.40,Not Blank,
Howard Community College ,HowardCC ,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Howard Community College ,HowardCC ,CPAM Degree AAS (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Howard Community College ,HowardCC ,Non-CPAM Degree (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Montgomery College,MC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),retentionRate,0.14,Not Blank,
Montgomery College,MC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Montgomery College,MC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),retentionRate,0.60,Not Blank,
Montgomery College,MC,CPAM Degree AA (Degree) [No Data],Degree,retentionRate,0.05,Blank,
Montgomery College,MC,CPAM Degree AAS (Degree),Degree,retentionRate,0.13,Not Blank,
Montgomery College,MC,CPAM Degree AAS (Other) [No Data],Other,retentionRate,0.05,Blank,
Montgomery College,MC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Montgomery College,MC,CPAM Degree AS (Degree),Degree,retentionRate,0.35,Not Blank,
Montgomery College,MC,Non-CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),retentionRate,0.05,Blank,
Montgomery College,MC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Montgomery College,MC,Non-CPAM Degree (Degree) [No Data],Degree,retentionRate,0.05,Blank,
Montgomery College,MC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Montgomery College,MC,Not Specified (Degree),Degree,retentionRate,0.50,Not Blank,
Montgomery College,MC,Not Specified (Other) [No Data],Other,retentionRate,0.05,Blank,
Montgomery College,MC,Not Specified [No Data],Not Specified,retentionRate,0.05,Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Certificate <1 y),Certificate (less than one year),retentionRate,0.18,Not Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Other),Other,retentionRate,0.27,Not Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Not Specified),Not Specified,retentionRate,0.14,Not Blank,
Training,Training,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),retentionRate,0.05,Blank,
Training,Training,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),retentionRate,0.05,Blank,
Training,Training,Not Specified [No Data],Not Specified,retentionRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),retentionRate,0.43,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate <1y (Not Specified),Not Specified,retentionRate,0.47,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),retentionRate,0.38,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate >1y (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
