College,College Initials,Program,Credential_level,Measure,Totals,Blank,Not Available
Montgomery College,MC,Not Specified [No Data],Not Specified,medianEarning,500,Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Certificate <1 y),Certificate (less than one year),medianEarning,29030,Not Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Other),Other,medianEarning,37022,Not Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Training,Training,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),medianEarning,500,Blank,
Training,Training,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),medianEarning,500,Blank,
Training,Training,Not Specified [No Data],Not Specified,medianEarning,500,Blank,
Wor-Wic Community College,WWCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),medianEarning,40038,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate <1y (Not Specified),Not Specified,medianEarning,26973,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),medianEarning,24961,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate >1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Wor-Wic Community College,WWCC,CPAM Degree AAS (Degree) [No Data],Degree,medianEarning,500,Blank,
Wor-Wic Community College,WWCC,CPAM Degree AAS (Not Specified),Not Specified,medianEarning,37518,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AS (Degree),Degree,medianEarning,24954,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AS (Not Specified),Not Specified,medianEarning,25011.5,Not Blank,
Wor-Wic Community College,WWCC,Non-CPAM Degree (Degree) [No Data],Degree,medianEarning,500,Blank,
Wor-Wic Community College,WWCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Wor-Wic Community College,WWCC,Not Specified (Degree) [No Data],Degree,medianEarning,500,Blank,
Wor-Wic Community College,WWCC,Not Specified,Not Specified,medianEarning,21960,Not Blank,
Allegany Community College,ACC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,1.00,Not Blank,
Allegany Community College,ACC,CPAM Certificate >1y (Not Specified),Not Specified,graduationRate,0.39,Not Blank,
Allegany Community College,ACC,CPAM Degree AAS (Degree),Degree,graduationRate,1.00,Not Blank,
Allegany Community College,ACC,CPAM Degree AAS (Not Specified),Not Specified,graduationRate,0.38,Not Blank,
Allegany Community College,ACC,CPAM Degree AS (Degree),Degree,graduationRate,1.00,Not Blank,
Allegany Community College,ACC,CPAM Degree AS (Not Specified),Not Specified,graduationRate,0.55,Not Blank,
Baltimore City Community College,BCCC,CPAM Non-credit Certificate (Certificate <1 y),Certificate (less than one year),graduationRate,0.98,Not Blank,
Baltimore City Community College,BCCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),graduationRate,0.05,Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Didnt Apply for Credential),Didnt Apply for Credential,graduationRate,1.00,Not Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,0.15,Not Blank,
Carroll Community College,CCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,0.96,Not Blank,
Carroll Community College,CCC,CPAM Certificate >1y (Certificate >1y) ,Didnt Apply for Credential,graduationRate,1.00,Not Blank,
Carroll Community College,CCC,CPAM Degree AAS (Degree),Degree,graduationRate,1.00,Not Blank,
Carroll Community College,CCC,CPAM Degree AAS (Not Specified),Not Specified,graduationRate,0.16,Not Blank,
Carroll Community College,CCC,CPAM Degree AS (Not Specified) ,Not Specified,graduationRate,1.00,Not Blank,
Carroll Community College,CCC,CPAM Non-credit Certificate (Certificate <1 y),Certificate (less than one year),graduationRate,1.00,Not Blank,
Carroll Community College,CCC,CPAM Non-credit Certificate (Not Specified),Not Specified,graduationRate,1.00,Not Blank,
Carroll Community College,CCC,Non-CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,1.00,Not Blank,
Carroll Community College,CCC,Non-CPAM Degree (Not Specified),Not Specified,graduationRate,0.73,Not Blank,
Carroll Community College,CCC,Not Specified (Certificate <1y) [No Data],Certificate (less than one year),graduationRate,0.05,Blank,
Carroll Community College,CCC,Not Specified,Not Specified,graduationRate,0.45,Not Blank,
College of Southern Maryland,CoSM,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),graduationRate,0.05,Blank,
College of Southern Maryland,CoSM,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
College of Southern Maryland,CoSM,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,1.00,Not Blank,
College of Southern Maryland,CoSM,CPAM Degree AAS (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
College of Southern Maryland,CoSM,CPAM Degree AS (Degree),Degree,graduationRate,1.00,Not Blank,
College of Southern Maryland,CoSM, CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
College of Southern Maryland,CoSM,Non-CPAM Degree (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
College of Southern Maryland,CoSM,Not Specified,Not Specified,graduationRate,0.03,Not Blank,
Community College of Baltimore County,CCBC,CPAM Certificate <1y (Didnt Apply for Credential),Didnt Apply for Credential,graduationRate,1.00,Not Blank,
Community College of Baltimore County,CCBC,CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,0.07,Not Blank,
Community College of Baltimore County,CCBC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,0.50,Not Blank,
Community College of Baltimore County,CCBC,CPAM Degree AAS (Degree),Degree,graduationRate,1.00,Not Blank,
Community College of Baltimore County,CCBC,CPAM Degree AAS (Not Specified) ,Not Specified,graduationRate,1.00,Not Blank,
Community College of Baltimore County,CCBC,CPAM Degree AS (Degree),Degree,graduationRate,0.64,Not Blank,
Community College of Baltimore County,CCBC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Frederick Community College,FCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),graduationRate,1.00,Not Blank,
Frederick Community College,FCC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Frederick Community College,FCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,1.00,Not Blank,
Frederick Community College,FCC,CPAM Degree AAS (Degree),Degree,graduationRate,1.00,Not Blank,
Frederick Community College,FCC,CPAM Degree AAS (Not Specified),Not Specified,graduationRate,1.00,Not Blank,
Frederick Community College,FCC,CPAM Degree AS (Degree),Degree,graduationRate,1.00,Not Blank,
Garrett College,GC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),graduationRate,0.40,Not Blank,
Garrett College,GC,CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,0.60,Not Blank,
Garrett College,GC,CPAM Degree AAS (Degree),Degree,graduationRate,1.00,Not Blank,
Garrett College,GC,CPAM Degree AAS (Not Specified),Not Specified,graduationRate,0.29,Not Blank,
Garrett College,GC,CPAM Non-credit Certificate (Certificate <1y) [No Data],Certificate (less than one year),graduationRate,0.05,Blank,
Garrett College,GC,CPAM Non-credit Certificate (Other) [No Data],Other,graduationRate,0.05,Blank,
Garrett College,GC,Non-CPAM Degree (Degree) ,Degree,graduationRate,1.00,Not Blank,
Garrett College,GC,Non-CPAM Degree (Not Specified),Not Specified,graduationRate,0.63,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),graduationRate,0.63,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,0.11,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,0.67,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AAS (Degree),Degree,graduationRate,0.72,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AAS (Not Specified),Not Specified,graduationRate,0.07,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Degree),Degree,graduationRate,0.74,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Other),Other,graduationRate,1.00,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Not Specified),Not Specified,graduationRate,0.05,Not Blank,
Hagerstown Community College,HagersCC,Non-CPAM Degree (Degree),Degree,graduationRate,1.00,Not Blank,
Hagerstown Community College,HagersCC,Non-CPAM Degree (Not Specified),Not Specified,graduationRate,0.15,Not Blank,
Hagerstown Community College,HagersCC,Not Specified (Degree),Degree,graduationRate,0.72,Not Blank,
Hagerstown Community College,HagersCC,Not Specified,Not Specified,graduationRate,0.07,Not Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),graduationRate,0.05,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Certificate <1y),Degree,graduationRate,1.00,Not Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,0.27,Not Blank,
Harford Community College,HarfordCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,1.00,Not Blank,
Harford Community College,HarfordCC,CPAM Degree AS (Degree),Degree,graduationRate,1.00,Not Blank,
Harford Community College,HarfordCC,Non-CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,0.11,Not Blank,
Harford Community College,HarfordCC,Non-CPAM Degree (Degree),Degree,graduationRate,1.00,Not Blank,
Harford Community College,HarfordCC,Non-CPAM Degree (Not Specified),Not Specified,graduationRate,0.30,Not Blank,
Harford Community College,HarfordCC,Not Specified (Not Specified),Not Specified,graduationRate,0.18,Not Blank,
Howard Community College,HowardCC,CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,0.03,Not Blank,
Howard Community College,HowardCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,1.00,Not Blank,
Howard Community College,HowardCC,CPAM Certificate >1y (Not Specified),Not Specified,graduationRate,0.10,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Certificate >1y),Certificate (more than one year),graduationRate,1.00,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Degree),Degree,graduationRate,1.00,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Not Specified),Not Specified,graduationRate,0.03,Not Blank,
Howard Community College,HowardCC,CPAM Degree AAS (Degree),Degree,graduationRate,1.00,Not Blank,
Howard Community College,HowardCC,CPAM Degree AAS (Not Specified),Not Specified,graduationRate,0.03,Not Blank,
Howard Community College,HowardCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Howard Community College,HowardCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Howard Community College,HowardCC,Non-CPAM Degree (Degree),Degree,graduationRate,1.00,Not Blank,
Howard Community College,HowardCC,Non-CPAM Degree (Not Specified),Not Specified,graduationRate,0.04,Not Blank,
Howard Community College,HowardCC,Not Specified,Not Specified,graduationRate,0.02,Not Blank,
Howard Community College ,HowardCC ,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Howard Community College ,HowardCC ,CPAM Degree AAS (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Howard Community College ,HowardCC ,Non-CPAM Degree (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Montgomery College,MC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),graduationRate,0.99,Not Blank,
Montgomery College,MC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Montgomery College,MC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,1.00,Not Blank,
Montgomery College,MC,CPAM Degree AA (Degree),Degree,graduationRate,1.00,Not Blank,
Montgomery College,MC,CPAM Degree AAS (Degree),Degree,graduationRate,1.00,Not Blank,
Montgomery College,MC,CPAM Degree AAS (Other),Other,graduationRate,0.25,Not Blank,
Montgomery College,MC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Montgomery College,MC,CPAM Degree AS (Degree),Degree,graduationRate,1.00,Not Blank,
Montgomery College,MC,Non-CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),graduationRate,1.00,Not Blank,
Montgomery College,MC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Montgomery College,MC,Non-CPAM Degree (Degree),Degree,graduationRate,1.00,Not Blank,
Montgomery College,MC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Montgomery College,MC,Not Specified (Degree),Degree,graduationRate,1.00,Not Blank,
Montgomery College,MC,Not Specified (Other) [No Data],Other,graduationRate,0.05,Blank,
Montgomery College,MC,Not Specified ,Not Specified,graduationRate,0.01,Not Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Certificate <1 y),Certificate (less than one year),graduationRate,1.00,Not Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Other),Other,graduationRate,1.00,Not Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Not Specified),Not Specified,graduationRate,0.88,Not Blank,
Training,Training,CPAM Certificate <1y (Certificate <1y) ,Certificate (less than one year),graduationRate,1.00,Not Blank,
Training,Training,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),graduationRate,0.05,Blank,
Training,Training,Not Specified [No Data],Not Specified,graduationRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),graduationRate,1.00,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate <1y (Not Specified),Not Specified,graduationRate,0.38,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),graduationRate,1.00,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate >1y (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Degree AAS (Degree) ,Degree,graduationRate,1.00,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AAS (Not Specified),Not Specified,graduationRate,0.67,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AS (Degree),Degree,graduationRate,1.00,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AS (Not Specified),Not Specified,graduationRate,0.24,Not Blank,
Wor-Wic Community College,WWCC,Non-CPAM Degree (Degree),Degree,graduationRate,1.00,Not Blank,
Wor-Wic Community College,WWCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,graduationRate,0.05,Blank,
Wor-Wic Community College,WWCC,Not Specified (Degree),Degree,graduationRate,1.00,Not Blank,
Wor-Wic Community College,WWCC,Not Specified,Not Specified,graduationRate,0.85,Not Blank,
Allegany Community College,ACC,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),transferRate,0.05,Blank,
Allegany Community College,ACC,CPAM Certificate >1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Allegany Community College,ACC,CPAM Degree AAS (Degree) [No Data],Degree,transferRate,0.05,Blank,
Allegany Community College,ACC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Allegany Community College,ACC,CPAM Degree AS (Degree) [No Data],Degree,transferRate,0.05,Blank,
Allegany Community College,ACC,CPAM Degree AS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Baltimore City Community College,BCCC,CPAM Non-credit Certificate (Certificate <1y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Baltimore City Community College,BCCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Didnt Apply for Credential) [No Data],Didnt Apply for Credential,transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),transferRate,0.04,Not Blank,
Carroll Community College,CCC,CPAM Certificate >1y (Certificate >1y) [No Data],Didnt Apply for Credential,transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Degree AAS (Degree) [No Data],Degree,transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Degree AS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Non-credit Certificate (Certificate <1 y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Carroll Community College,CCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Carroll Community College,CCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Carroll Community College,CCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Carroll Community College,CCC,Not Specified (Certificate <1y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Carroll Community College,CCC,Not Specified [No Data],Not Specified,transferRate,0.05,Blank,
College of Southern Maryland,CoSM,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),transferRate,1.00,Not Blank,
College of Southern Maryland,CoSM,CPAM Certificate <1y (Certificate <1y),Not Specified,transferRate,1.00,Not Blank,
College of Southern Maryland,CoSM,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),transferRate,0.50,Not Blank,
College of Southern Maryland,CoSM,CPAM Degree AAS (Not Specified),Not Specified,transferRate,0.42,Not Blank,
College of Southern Maryland,CoSM,CPAM Degree AS (Degree),Degree,transferRate,0.50,Not Blank,
College of Southern Maryland,CoSM, CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
College of Southern Maryland,CoSM,Non-CPAM Degree (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
College of Southern Maryland,CoSM,Not Specified,Not Specified,transferRate,0.36,Not Blank,
Community College of Baltimore County,CCBC,CPAM Certificate <1y (Didnt Apply for Credential),Didnt Apply for Credential,transferRate,0.19,Not Blank,
Community College of Baltimore County,CCBC,CPAM Certificate <1y (Not Specified),Not Specified,transferRate,0.04,Not Blank,
Community College of Baltimore County,CCBC,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),transferRate,0.05,Blank,
Community College of Baltimore County,CCBC,CPAM Degree AAS (Degree),Degree,transferRate,0.33,Not Blank,
Community College of Baltimore County,CCBC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Community College of Baltimore County,CCBC,CPAM Degree AS (Degree),Degree,transferRate,0.36,Not Blank,
Community College of Baltimore County,CCBC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Frederick Community College,FCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),transferRate,0.29,Not Blank,
Frederick Community College,FCC,CPAM Certificate <1y (Not Specified),Not Specified,transferRate,0.08,Not Blank,
Frederick Community College,FCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),transferRate,0.24,Not Blank,
Frederick Community College,FCC,CPAM Degree AAS (Degree),Degree,transferRate,0.22,Not Blank,
Frederick Community College,FCC,CPAM Degree AAS (Not Specified),Not Specified,transferRate,0.13,Not Blank,
Frederick Community College,FCC,CPAM Degree AS (Degree),Degree,transferRate,0.27,Not Blank,
Garrett College,GC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),transferRate,0.30,Not Blank,
Garrett College,GC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Garrett College,GC,CPAM Degree AAS (Degree),Degree,transferRate,0.50,Not Blank,
Garrett College,GC,CPAM Degree AAS (Not Specified),Not Specified,transferRate,0.19,Not Blank,
Garrett College,GC,CPAM Non-credit Certificate (Certificate <1y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Garrett College,GC,CPAM Non-credit Certificate (Other),Other,transferRate,1.00,Not Blank,
Garrett College,GC,Non-CPAM Degree (Degree) [No Data],Degree,transferRate,0.05,Blank,
Garrett College,GC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Hagerstown Community College,HagersCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),transferRate,0.38,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Hagerstown Community College,HagersCC,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),transferRate,0.05,Blank,
Hagerstown Community College,HagersCC,CPAM Degree AAS (Degree),Degree,transferRate,0.14,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Degree),Degree,transferRate,0.23,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Other) [No Data],Other,transferRate,0.05,Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Hagerstown Community College,HagersCC,Non-CPAM Degree (Degree)[No Data],Degree,transferRate,0.05,Blank,
Hagerstown Community College,HagersCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Hagerstown Community College,HagersCC,Not Specified (Degree),Degree,transferRate,0.11,Not Blank,
Hagerstown Community College,HagersCC,Not Specified [No Data],Not Specified,transferRate,0.05,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),transferRate,0.25,Not Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Certificate <1y) [No Data],Degree,transferRate,0.05,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Not Specified),Not Specified,transferRate,0.09,Not Blank,
Harford Community College,HarfordCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),transferRate,0.25,Not Blank,
Harford Community College,HarfordCC,CPAM Degree AS (Degree),Degree,transferRate,0.24,Not Blank,
Harford Community College,HarfordCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Harford Community College,HarfordCC,Non-CPAM Degree (Degree) [No Data],Degree,transferRate,0.05,Blank,
Harford Community College,HarfordCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Harford Community College,HarfordCC,Not Specified (Not Specified),Not Specified,transferRate,0.09,Not Blank,
Howard Community College,HowardCC,CPAM Certificate <1y (Not Specified),Not Specified,transferRate,0.08,Not Blank,
Howard Community College,HowardCC,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),transferRate,0.05,Blank,
Howard Community College,HowardCC,CPAM Certificate >1y (Not Specified),Not Specified,transferRate,0.05,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Certificate >1y),Certificate (more than one year),transferRate,1.00,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Degree),Degree,transferRate,0.62,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Not Specified),Not Specified,transferRate,0.08,Not Blank,
Howard Community College,HowardCC,CPAM Degree AAS (Degree),Degree,transferRate,1.00,Not Blank,
Howard Community College,HowardCC,CPAM Degree AAS (Not Specified),Not Specified,transferRate,0.06,Not Blank,
Howard Community College,HowardCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Howard Community College,HowardCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Howard Community College,HowardCC,Non-CPAM Degree (Degree),Degree,transferRate,0.40,Not Blank,
Howard Community College,HowardCC,Non-CPAM Degree (Not Specified),Not Specified,transferRate,0.02,Not Blank,
Howard Community College,HowardCC,Not Specified,Not Specified,transferRate,0.01,Not Blank,
Howard Community College ,HowardCC ,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Howard Community College ,HowardCC ,CPAM Degree AAS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Howard Community College ,HowardCC ,Non-CPAM Degree (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Montgomery College,MC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),transferRate,0.16,Not Blank,
Montgomery College,MC,CPAM Certificate <1y (Not Specified),Not Specified,transferRate,0.28,Not Blank,
Montgomery College,MC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),transferRate,0.40,Not Blank,
Montgomery College,MC,CPAM Degree AA (Degree) [No Data],Degree,transferRate,0.05,Blank,
Montgomery College,MC,CPAM Degree AAS (Degree),Degree,transferRate,0.60,Not Blank,
Montgomery College,MC,CPAM Degree AAS (Other),Other,transferRate,0.75,Not Blank,
Montgomery College,MC,CPAM Degree AAS (Not Specified),Not Specified,transferRate,0.31,Not Blank,
Montgomery College,MC,CPAM Degree AS (Degree),Degree,transferRate,0.55,Not Blank,
Montgomery College,MC,Non-CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Montgomery College,MC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Montgomery College,MC,Non-CPAM Degree (Degree),Degree,transferRate,0.50,Not Blank,
Montgomery College,MC,Non-CPAM Degree (Not Specified),Not Specified,transferRate,0.34,Not Blank,
Montgomery College,MC,Not Specified (Degree),Degree,transferRate,0.50,Not Blank,
Montgomery College,MC,Not Specified (Other),Other,transferRate,1.00,Not Blank,
Montgomery College,MC,Not Specified,Not Specified,transferRate,0.24,Not Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Certificate <1 y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Other) [No Data],Other,transferRate,0.05,Blank,
Prince George's Community College,PGCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Training,Training,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Training,Training,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),transferRate,0.05,Blank,
Training,Training,Not Specified [No Data],Not Specified,transferRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),transferRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Certificate <1y (Not Specified),Not Specified,transferRate,0.15,Not Blank,
Wor-Wic Community College,WWCC,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),transferRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Certificate >1y (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Degree AAS (Degree),Degree,transferRate,1.00,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Degree AS (Degree),Degree,transferRate,0.09,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AS (Not Specified),Not Specified,transferRate,0.16,Not Blank,
Wor-Wic Community College,WWCC,Non-CPAM Degree (Degree) [No Data],Degree,transferRate,0.05,Blank,
Wor-Wic Community College,WWCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,transferRate,0.05,Blank,
